"","Method","id","ace_a","ace_c","ace_e","n","NGroups","NDependentVars","NIndependentVars","NContinuousLatentVars","Parameters","TrueModel","aBIC_ae_0.01","aBIC_ae_0.025","aBIC_ae_0.05","aBIC_ae_0.1","aBIC_ae_0.5","aBIC_ae_0.9","aBIC_ae_0.95","aBIC_ae_0.975","aBIC_ae_0.99","aBIC_ae_NA","AIC_ae_0.01","AIC_ae_0.025","AIC_ae_0.05","AIC_ae_0.1","AIC_ae_0.5","AIC_ae_0.9","AIC_ae_0.95","AIC_ae_0.975","AIC_ae_0.99","AIC_ae_NA","BIC_ae_0.01","BIC_ae_0.025","BIC_ae_0.05","BIC_ae_0.1","BIC_ae_0.5","BIC_ae_0.9","BIC_ae_0.95","BIC_ae_0.975","BIC_ae_0.99","BIC_ae_NA","CFI_ae_0.01","CFI_ae_0.025","CFI_ae_0.05","CFI_ae_0.1","CFI_ae_0.5","CFI_ae_0.9","CFI_ae_0.95","CFI_ae_0.975","CFI_ae_0.99","CFI_ae_NA","ChiSqBaseline_DF_ae_0.01","ChiSqBaseline_DF_ae_0.025","ChiSqBaseline_DF_ae_0.05","ChiSqBaseline_DF_ae_0.1","ChiSqBaseline_DF_ae_0.5","ChiSqBaseline_DF_ae_0.9","ChiSqBaseline_DF_ae_0.95","ChiSqBaseline_DF_ae_0.975","ChiSqBaseline_DF_ae_0.99","ChiSqBaseline_DF_ae_NA","ChiSqBaseline_PValue_ae_0.01","ChiSqBaseline_PValue_ae_0.025","ChiSqBaseline_PValue_ae_0.05","ChiSqBaseline_PValue_ae_0.1","ChiSqBaseline_PValue_ae_0.5","ChiSqBaseline_PValue_ae_0.9","ChiSqBaseline_PValue_ae_0.95","ChiSqBaseline_PValue_ae_0.975","ChiSqBaseline_PValue_ae_0.99","ChiSqBaseline_PValue_ae_NA","ChiSqBaseline_Value_ae_0.01","ChiSqBaseline_Value_ae_0.025","ChiSqBaseline_Value_ae_0.05","ChiSqBaseline_Value_ae_0.1","ChiSqBaseline_Value_ae_0.5","ChiSqBaseline_Value_ae_0.9","ChiSqBaseline_Value_ae_0.95","ChiSqBaseline_Value_ae_0.975","ChiSqBaseline_Value_ae_0.99","ChiSqBaseline_Value_ae_NA","ChiSqM_DF_ae_0.01","ChiSqM_DF_ae_0.025","ChiSqM_DF_ae_0.05","ChiSqM_DF_ae_0.1","ChiSqM_DF_ae_0.5","ChiSqM_DF_ae_0.9","ChiSqM_DF_ae_0.95","ChiSqM_DF_ae_0.975","ChiSqM_DF_ae_0.99","ChiSqM_DF_ae_NA","ChiSqM_PValue_ae_0.01","ChiSqM_PValue_ae_0.025","ChiSqM_PValue_ae_0.05","ChiSqM_PValue_ae_0.1","ChiSqM_PValue_ae_0.5","ChiSqM_PValue_ae_0.9","ChiSqM_PValue_ae_0.95","ChiSqM_PValue_ae_0.975","ChiSqM_PValue_ae_0.99","ChiSqM_PValue_ae_NA","ChiSqM_Value_ae_0.01","ChiSqM_Value_ae_0.025","ChiSqM_Value_ae_0.05","ChiSqM_Value_ae_0.1","ChiSqM_Value_ae_0.5","ChiSqM_Value_ae_0.9","ChiSqM_Value_ae_0.95","ChiSqM_Value_ae_0.975","ChiSqM_Value_ae_0.99","ChiSqM_Value_ae_NA","LL_ae_0.01","LL_ae_0.025","LL_ae_0.05","LL_ae_0.1","LL_ae_0.5","LL_ae_0.9","LL_ae_0.95","LL_ae_0.975","LL_ae_0.99","LL_ae_NA","RMSEA_90CI_LB_ae_0.01","RMSEA_90CI_LB_ae_0.025","RMSEA_90CI_LB_ae_0.05","RMSEA_90CI_LB_ae_0.1","RMSEA_90CI_LB_ae_0.5","RMSEA_90CI_LB_ae_0.9","RMSEA_90CI_LB_ae_0.95","RMSEA_90CI_LB_ae_0.975","RMSEA_90CI_LB_ae_0.99","RMSEA_90CI_LB_ae_NA","RMSEA_90CI_UB_ae_0.01","RMSEA_90CI_UB_ae_0.025","RMSEA_90CI_UB_ae_0.05","RMSEA_90CI_UB_ae_0.1","RMSEA_90CI_UB_ae_0.5","RMSEA_90CI_UB_ae_0.9","RMSEA_90CI_UB_ae_0.95","RMSEA_90CI_UB_ae_0.975","RMSEA_90CI_UB_ae_0.99","RMSEA_90CI_UB_ae_NA","RMSEA_Estimate_ae_0.01","RMSEA_Estimate_ae_0.025","RMSEA_Estimate_ae_0.05","RMSEA_Estimate_ae_0.1","RMSEA_Estimate_ae_0.5","RMSEA_Estimate_ae_0.9","RMSEA_Estimate_ae_0.95","RMSEA_Estimate_ae_0.975","RMSEA_Estimate_ae_0.99","RMSEA_Estimate_ae_NA","RMSEA_pLT05_ae_0.01","RMSEA_pLT05_ae_0.025","RMSEA_pLT05_ae_0.05","RMSEA_pLT05_ae_0.1","RMSEA_pLT05_ae_0.5","RMSEA_pLT05_ae_0.9","RMSEA_pLT05_ae_0.95","RMSEA_pLT05_ae_0.975","RMSEA_pLT05_ae_0.99","RMSEA_pLT05_ae_NA","SRMR_ae_0.01","SRMR_ae_0.025","SRMR_ae_0.05","SRMR_ae_0.1","SRMR_ae_0.5","SRMR_ae_0.9","SRMR_ae_0.95","SRMR_ae_0.975","SRMR_ae_0.99","SRMR_ae_NA","TLI_ae_0.01","TLI_ae_0.025","TLI_ae_0.05","TLI_ae_0.1","TLI_ae_0.5","TLI_ae_0.9","TLI_ae_0.95","TLI_ae_0.975","TLI_ae_0.99","TLI_ae_NA","UnrestrictedLL_ae_0.01","UnrestrictedLL_ae_0.025","UnrestrictedLL_ae_0.05","UnrestrictedLL_ae_0.1","UnrestrictedLL_ae_0.5","UnrestrictedLL_ae_0.9","UnrestrictedLL_ae_0.95","UnrestrictedLL_ae_0.975","UnrestrictedLL_ae_0.99","UnrestrictedLL_ae_NA"
"1","cor",1,0,0,1,100,2,2,0,6,4,"E",1131.589,1132.86,1134.101,1135.171,1137.344,1137.521,1137.521,1137.521,1137.521,1487,1131.198,1132.47,1133.711,1134.781,1136.953,1137.131,1137.131,1137.131,1137.131,1487,1141.093,1142.365,1143.606,1144.676,1146.848,1147.026,1147.026,1147.026,1147.026,1487,1,1,1,1,1,1,1,1,1,1487,2,2,2,2,2,2,2,2,2,1487,0.0116,0.0298,0.0571,0.1165,0.5219,0.9108,0.9557,0.9791,0.992,1487,0.016,0.042,0.091,0.187,1.298,4.297,5.724,6.991,8.88,1487,7,7,7,7,7,7,7,7,7,1487,0.4451,0.5961,0.783,0.8946,0.999,1,1,1,1,1487,0,0.002,0.008,0.029,0.606,2.894,3.971,5.508,6.822,1487,-562.599,-563.235,-563.855,-564.39,-565.477,-565.565,-565.565,-565.565,-565.565,1487,0,0,0,0,0,0,0,0,0,1487,0,0,0,0,0,0.055,0.082,0.106,0.121,1487,0,0,0,0,0,0,0,0,0,1487,0.607,0.736,0.873,0.943,1,1,1,1,1,1487,0.001,0.001,0.003,0.005,0.024,0.053,0.062,0.073,0.082,1487,1,1,1,1,1,3.175,5.776,11.443,23.212,1487,-561.105,-562.052,-562.702,-563.415,-564.915,-565.472,-565.52,-565.544,-565.557,1487
"2","cor",4,0,1,1,100,2,2,0,6,4,"CE",1053.954,1059.88,1064.801,1070.295,1087.932,1103.482,1107.325,1110.188,1113.997,0,1053.563,1059.489,1064.411,1069.904,1087.541,1103.092,1106.934,1109.798,1113.606,0,1063.458,1069.384,1074.306,1079.799,1097.436,1112.987,1116.829,1119.692,1123.501,0,0.7,0.75,0.791,0.833,0.978,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,29.88,33.74,36.86,41.182,58.644,78.555,84.371,89.666,95.597,0,7,7,7,7,7,7,7,7,7,0,3e-04,0.0014,0.0044,0.0156,0.3134,0.9471,0.9895,0.9987,0.9999,0,0.245,0.642,1.259,2.208,8.221,17.289,20.592,23.378,27.162,0,-523.782,-526.744,-529.205,-531.952,-540.77,-548.546,-550.467,-551.899,-553.803,0,0,0,0,0,0,0.049,0.072,0.087,0.105,0,0,0,0,0.014,0.135,0.195,0.211,0.224,0.239,0,0,0,0,0,0.042,0.121,0.139,0.153,0.17,0,0.002,0.008,0.019,0.051,0.478,0.973,0.995,0.999,1,0,0.014,0.022,0.031,0.041,0.075,0.106,0.113,0.12,0.128,0,0.914,0.929,0.94,0.952,0.994,1.028,1.036,1.046,1.054,0,-517.578,-520.73,-523.375,-526.245,-536.242,-544.957,-547.125,-548.681,-550.565,0
"3","cor",5,1,1,1,100,2,2,0,6,4,"ACE",1013.186,1020.301,1026.651,1032.596,1054.007,1073.261,1078.558,1082.898,1087.281,0,1012.795,1019.911,1026.26,1032.206,1053.617,1072.871,1078.167,1082.508,1086.89,0,1022.69,1029.806,1036.155,1042.101,1063.512,1082.766,1088.062,1092.402,1096.785,0,0.865,0.899,0.924,0.951,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,53.309,58.263,62.744,68.346,88.731,111.662,118.303,124.616,131.289,0,7,7,7,7,7,7,7,7,7,0,0.0052,0.0193,0.0474,0.1163,0.7372,0.9992,1,1,1,0,0.01,0.058,0.202,0.556,4.362,11.536,14.218,16.708,20.145,0,-503.398,-506.955,-510.13,-513.103,-523.808,-533.435,-536.084,-538.254,-540.445,0,0,0,0,0,0,0,0.01,0.044,0.069,0,0,0,0,0,0.089,0.16,0.178,0.192,0.209,0,0,0,0,0,0,0.08,0.102,0.118,0.137,0,0.022,0.06,0.12,0.235,0.842,1,1,1,1,0,0.003,0.007,0.013,0.021,0.055,0.086,0.094,0.1,0.108,0,0.961,0.971,0.978,0.986,1.009,1.024,1.027,1.03,1.034,0,-499.914,-503.238,-506.399,-509.723,-521.197,-531.386,-534.181,-536.397,-538.902,0
"4","cor",6,2,1,1,100,2,2,0,6,4,"ACE",984.661,993.062,998.845,1005.605,1028.046,1049.245,1055.511,1060.566,1065.727,0,984.27,992.672,998.454,1005.214,1027.656,1048.854,1055.12,1060.175,1065.337,0,994.165,1002.567,1008.349,1015.109,1037.551,1058.749,1065.015,1070.07,1075.232,0,0.93,0.949,0.966,0.986,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,73.96,78.949,84.293,90.756,112.947,136.863,143.856,150.578,157.894,0,7,7,7,7,7,7,7,7,7,0,0.0273,0.0646,0.1343,0.2813,0.9208,1,1,1,1,0,0.002,0.01,0.048,0.159,2.578,8.614,11.057,13.263,15.772,0,-489.135,-493.336,-496.227,-499.607,-510.828,-521.427,-524.56,-527.088,-529.668,0,0,0,0,0,0,0,0,0,0.035,0,0,0,0,0,0.042,0.138,0.157,0.172,0.186,0,0,0,0,0,0,0.048,0.076,0.095,0.112,0,0.079,0.152,0.261,0.443,0.958,1,1,1,1,0,0.001,0.003,0.006,0.012,0.044,0.076,0.085,0.092,0.098,0,0.98,0.985,0.99,0.996,1.011,1.02,1.022,1.024,1.025,0,-486.413,-490.246,-493.625,-497.118,-509.091,-520.176,-523.417,-526.073,-528.569,0
"5","cor",7,0,2,1,100,2,2,0,6,4,"CE",999.728,1006.822,1012.435,1018.299,1040.878,1060.691,1066.487,1071.113,1076,0,999.337,1006.431,1012.045,1017.908,1040.488,1060.3,1066.096,1070.722,1075.609,0,1009.232,1016.326,1021.939,1027.803,1050.383,1070.195,1075.991,1080.617,1085.504,0,0.696,0.729,0.753,0.781,0.878,0.965,0.987,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,77.484,83.305,88.791,95.714,119.045,143.458,151.403,157.331,165.372,0,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0.0036,0.1532,0.3027,0.4629,0.6737,0,4.865,6.673,8.343,10.679,21.119,34.671,38.312,42.155,46.442,0,-496.669,-500.216,-503.022,-505.954,-517.244,-527.15,-530.048,-532.361,-534.805,0,0,0,0,0,0.075,0.136,0.149,0.162,0.175,0,0.097,0.119,0.136,0.154,0.213,0.267,0.279,0.292,0.304,0,0,0,0.044,0.072,0.142,0.199,0.211,0.224,0.237,0,0,0,0,0,0.016,0.287,0.467,0.624,0.796,0,0.058,0.067,0.075,0.083,0.11,0.134,0.139,0.143,0.148,0,0.913,0.923,0.929,0.938,0.965,0.99,0.996,1.001,1.006,0,-482.878,-486.893,-489.857,-493.825,-506.041,-517.708,-521.168,-523.912,-526.794,0
"6","cor",8,1,2,1,100,2,2,0,6,4,"ACE",972.881,979.754,987.067,993.646,1016.357,1038.797,1045.333,1050.59,1056.707,0,972.491,979.363,986.677,993.256,1015.966,1038.407,1044.942,1050.199,1056.316,0,982.385,989.258,996.572,1003.151,1025.861,1048.301,1054.837,1060.094,1066.211,0,0.823,0.847,0.867,0.893,0.962,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,89.046,96.735,102.758,109.142,134.143,159.704,167.047,174.395,184.382,0,7,7,7,7,7,7,7,7,7,0,0,1e-04,5e-04,0.0022,0.1005,0.7062,0.8697,0.9543,0.9938,0,1.052,2.094,3.159,4.614,11.998,22.404,25.908,29.166,33.207,0,-483.245,-486.681,-490.338,-493.628,-504.983,-516.203,-519.471,-522.1,-525.158,0,0,0,0,0,0,0.082,0.1,0.114,0.13,0,0,0,0.063,0.093,0.164,0.219,0.234,0.247,0.262,0,0,0,0,0,0.084,0.148,0.164,0.178,0.193,0,0,0.001,0.003,0.011,0.211,0.82,0.928,0.977,0.997,0,0.029,0.04,0.049,0.058,0.088,0.114,0.121,0.126,0.132,0,0.949,0.956,0.962,0.969,0.989,1.006,1.009,1.013,1.016,0,-473.259,-478.302,-481.994,-485.688,-498.487,-510.985,-514.18,-517.195,-521.017,0
"7","cor",9,2,2,1,100,2,2,0,6,4,"ACE",951.669,959.906,965.706,973.052,997.389,1021.469,1028.25,1033.47,1038.932,0,951.278,959.515,965.315,972.661,996.998,1021.078,1027.859,1033.079,1038.542,0,961.173,969.41,975.21,982.556,1006.893,1030.973,1037.754,1042.974,1048.437,0,0.877,0.897,0.917,0.937,0.996,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,102.816,110.396,116.25,122.664,148.633,175.467,183.527,189.817,197.648,0,7,7,7,7,7,7,7,7,7,0,3e-04,0.0014,0.0056,0.0182,0.3638,0.9546,0.995,0.9997,1,0,0.095,0.402,0.986,2.084,7.653,16.867,19.948,23.355,27.068,0,-472.639,-476.757,-479.658,-483.331,-495.499,-507.539,-510.929,-513.54,-516.271,0,0,0,0,0,0,0.046,0.068,0.087,0.105,0,0,0,0,0,0.129,0.192,0.208,0.224,0.239,0,0,0,0,0,0.031,0.119,0.136,0.153,0.169,0,0.002,0.008,0.023,0.058,0.53,0.977,0.998,1,1,0,0.009,0.019,0.029,0.041,0.074,0.103,0.11,0.117,0.124,0,0.965,0.971,0.976,0.982,0.999,1.01,1.013,1.015,1.017,0,-466.637,-470.612,-473.792,-477.824,-491.244,-504.233,-507.416,-510.357,-514.139,0
"8","cor",10,0,0,2,100,2,2,0,6,4,"E",1131.539,1132.815,1133.944,1135.158,1137.377,1137.521,1137.521,1137.521,1137.521,1515,1131.149,1132.424,1133.554,1134.767,1136.986,1137.131,1137.131,1137.131,1137.131,1515,1141.044,1142.319,1143.449,1144.662,1146.881,1147.026,1147.026,1147.026,1147.026,1515,0.856,1,1,1,1,1,1,1,1,1515,2,2,2,2,2,2,2,2,2,1515,0.0091,0.0254,0.0548,0.1078,0.5269,0.9191,0.9653,0.9844,0.9953,1515,0.009,0.031,0.07,0.168,1.28,4.451,5.798,7.307,9.296,1515,7,7,7,7,7,7,7,7,7,1515,0.344,0.5833,0.7515,0.8851,0.9989,1,1,1,1,1515,0,0.001,0.006,0.026,0.608,2.998,4.214,5.62,7.844,1515,-562.574,-563.212,-563.777,-564.384,-565.493,-565.565,-565.565,-565.565,-565.565,1515,0,0,0,0,0,0,0,0,0,1515,0,0,0,0,0,0.058,0.086,0.107,0.131,1515,0,0,0,0,0,0,0,0,0.035,1515,0.51,0.726,0.851,0.938,1,1,1,1,1,1515,0,0.001,0.002,0.005,0.025,0.054,0.064,0.074,0.087,1515,0.959,1,1,1,1,2.935,5.106,11.492,29.545,1515,-560.863,-561.891,-562.662,-563.338,-564.925,-565.481,-565.53,-565.55,-565.561,1515
"9","cor",13,0,1,2,100,2,2,0,6,4,"CE",1091.912,1096.258,1099.895,1103.918,1116.629,1126.413,1128.605,1130.475,1131.948,0,1091.521,1095.868,1099.504,1103.527,1116.239,1126.022,1128.214,1130.085,1131.558,0,1101.416,1105.763,1109.399,1113.422,1126.133,1135.917,1138.109,1139.98,1141.453,0,0.701,0.784,0.854,0.934,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,9e-04,0.0035,0.0093,0.022,0,7.609,9.334,11.29,13.954,24.739,38.384,42.857,47.019,52.503,0,7,7,7,7,7,7,7,7,7,0,0.0207,0.0607,0.1293,0.2552,0.9069,1,1,1,1,0,0.002,0.015,0.061,0.21,2.752,8.959,11.206,13.48,16.456,0,-542.761,-544.934,-546.752,-548.764,-555.119,-560.011,-561.107,-562.042,-562.779,0,0,0,0,0,0,0,0,0,0.042,0,0,0,0,0,0.05,0.141,0.158,0.173,0.19,0,0,0,0,0,0,0.053,0.078,0.096,0.116,0,0.064,0.145,0.254,0.414,0.95,1,1,1,1,0,0.001,0.004,0.007,0.013,0.048,0.083,0.093,0.102,0.111,0,0.915,0.938,0.958,0.981,1.051,1.135,1.177,1.224,1.314,0,-539.104,-542.044,-544.122,-546.372,-553.193,-558.585,-559.917,-560.889,-561.75,0
"10","cor",14,1,1,2,100,2,2,0,6,4,"ACE",1061.153,1067.4,1073.521,1078.499,1095.012,1109.444,1112.759,1115.754,1119.602,0,1060.762,1067.01,1073.131,1078.109,1094.621,1109.053,1112.369,1115.364,1119.211,0,1070.657,1076.905,1083.026,1088.004,1104.516,1118.948,1122.264,1125.258,1129.106,0,0.861,0.907,0.948,0.992,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,19.833,23.55,26.679,30.405,45.512,62.962,68.309,74.31,81.464,0,7,7,7,7,7,7,7,7,7,0,0.0439,0.1166,0.2096,0.3886,0.9596,1,1,1,1,0,0.001,0.006,0.025,0.1,2.003,7.392,9.642,11.483,14.337,0,-527.381,-530.505,-533.565,-536.054,-544.311,-551.527,-553.184,-554.682,-556.606,0,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0.127,0.146,0.16,0.178,0,0,0,0,0,0,0.024,0.061,0.08,0.102,0,0.113,0.235,0.36,0.554,0.98,1,1,1,1,0,0.001,0.002,0.005,0.009,0.039,0.072,0.082,0.089,0.098,0,0.96,0.973,0.985,0.998,1.032,1.06,1.07,1.083,1.1,0,-524.777,-528.398,-531.41,-534.081,-542.804,-550.363,-552.217,-553.79,-555.644,0
"11","cor",15,2,1,2,100,2,2,0,6,4,"ACE",1041.063,1046.975,1051.841,1056.915,1076.396,1093.788,1098.016,1101.895,1105.67,0,1040.672,1046.584,1051.45,1056.524,1076.006,1093.397,1097.625,1101.504,1105.279,0,1050.567,1056.479,1061.345,1066.419,1085.901,1103.292,1107.52,1111.399,1115.174,0,0.92,0.955,0.983,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,33.054,37.285,41.03,45.336,63.608,83.301,89.188,94.445,100.727,0,7,7,7,7,7,7,7,7,7,0,0.0809,0.1819,0.3155,0.5116,0.9829,1,1,1,1,0,0.001,0.004,0.015,0.058,1.482,6.24,8.196,10.096,12.597,0,-517.336,-520.292,-522.725,-525.262,-535.003,-543.699,-545.812,-547.752,-549.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115,0.134,0.15,0.167,0,0,0,0,0,0,0,0.041,0.067,0.089,0,0.179,0.325,0.48,0.666,0.992,1,1,1,1,0,0.001,0.002,0.003,0.007,0.033,0.065,0.074,0.081,0.09,0,0.977,0.987,0.995,1.003,1.025,1.04,1.046,1.051,1.058,0,-515.155,-518.329,-520.97,-523.897,-533.755,-542.896,-545.043,-546.913,-548.975,0
"12","cor",16,0,2,2,100,2,2,0,6,4,"CE",1052.853,1059.791,1065.141,1070.28,1088,1103.214,1106.919,1110.54,1113.731,0,1052.463,1059.4,1064.75,1069.889,1087.61,1102.823,1106.528,1110.15,1113.341,0,1062.358,1069.295,1074.645,1079.784,1097.504,1112.718,1116.423,1120.045,1123.236,0,0.714,0.75,0.788,0.832,0.979,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,29.568,33.241,36.949,41.544,58.885,78.531,85.039,90.187,97.154,0,7,7,7,7,7,7,7,7,7,0,4e-04,0.0013,0.0037,0.0133,0.3157,0.9458,0.9886,0.9991,1,0,0.123,0.581,1.292,2.228,8.192,17.706,21.015,23.713,26.582,0,-523.231,-526.7,-529.375,-531.945,-540.805,-548.412,-550.264,-552.075,-553.67,0,0,0,0,0,0,0.053,0.074,0.089,0.103,0,0,0,0,0.017,0.134,0.197,0.213,0.225,0.237,0,0,0,0,0,0.041,0.124,0.141,0.155,0.167,0,0.003,0.007,0.017,0.045,0.48,0.972,0.995,1,1,0,0.01,0.021,0.031,0.041,0.075,0.106,0.114,0.12,0.126,0,0.918,0.929,0.939,0.952,0.994,1.029,1.037,1.044,1.054,0,-516.964,-520.349,-523.039,-526.283,-536.123,-544.785,-547.053,-548.936,-550.678,0
"13","cor",17,1,2,2,100,2,2,0,6,4,"ACE",1031.599,1038.477,1043.637,1049.543,1069.741,1087.998,1091.979,1095.913,1100.627,0,1031.208,1038.087,1043.247,1049.152,1069.351,1087.607,1091.588,1095.522,1100.237,0,1041.103,1047.982,1053.142,1059.047,1079.246,1097.502,1101.483,1105.417,1110.132,0,0.817,0.853,0.879,0.911,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,40.852,45.719,50.045,55.475,74.862,96.251,103.03,108.598,114.689,0,7,7,7,7,7,7,7,7,7,0,0.0023,0.0074,0.0184,0.0519,0.5681,0.9935,0.9997,1,1,0,0.013,0.098,0.39,1.073,5.759,13.949,16.842,19.248,22.239,0,-512.604,-516.043,-518.623,-521.576,-531.675,-540.804,-542.794,-544.761,-547.118,0,0,0,0,0,0,0,0.046,0.063,0.081,0,0,0,0,0,0.109,0.176,0.192,0.205,0.219,0,0,0,0,0,0,0.1,0.119,0.132,0.148,0,0.011,0.029,0.058,0.129,0.714,0.997,1,1,1,0,0.003,0.009,0.017,0.028,0.063,0.093,0.101,0.107,0.114,0,0.948,0.958,0.965,0.975,1.005,1.026,1.031,1.035,1.041,0,-508.206,-511.264,-514.047,-517.428,-528.134,-537.827,-540.512,-542.664,-545.011,0
"14","cor",18,2,2,2,100,2,2,0,6,4,"ACE",1013.866,1020.658,1026.425,1032.751,1054.088,1073.322,1078.681,1082.722,1088.185,0,1013.476,1020.267,1026.034,1032.36,1053.697,1072.931,1078.29,1082.331,1087.795,0,1023.371,1030.162,1035.929,1042.255,1063.592,1082.826,1088.185,1092.226,1097.69,0,0.873,0.903,0.925,0.953,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,52.768,58.39,63.163,68.159,88.795,111.373,118.178,124.057,131.101,0,7,7,7,7,7,7,7,7,7,0,0.0091,0.0221,0.0488,0.1182,0.7397,0.9991,1,1,1,0,0.007,0.052,0.186,0.573,4.339,11.487,14.132,16.33,18.716,0,-503.738,-507.134,-510.017,-513.18,-523.849,-533.466,-536.145,-538.166,-540.897,0,0,0,0,0,0,0,0.007,0.041,0.06,0,0,0,0,0,0.089,0.16,0.177,0.19,0.202,0,0,0,0,0,0,0.08,0.101,0.115,0.129,0,0.034,0.067,0.123,0.238,0.843,1,1,1,1,0,0.002,0.006,0.012,0.021,0.055,0.085,0.093,0.099,0.105,0,0.964,0.972,0.979,0.986,1.009,1.024,1.027,1.03,1.035,0,-499.954,-503.524,-506.421,-509.877,-521.164,-531.483,-533.948,-536.361,-539.141,0
"15","cor",19,0,0,1,250,2,2,0,6,4,"E",2837.384,2838.813,2839.804,2840.791,2842.892,2842.991,2842.991,2842.991,2842.991,1124,2834.263,2835.691,2836.683,2837.67,2839.77,2839.869,2839.869,2839.869,2839.869,1124,2846.906,2848.335,2849.327,2850.313,2852.414,2852.513,2852.513,2852.513,2852.513,1124,0.876,1,1,1,1,1,1,1,1,1124,2,2,2,2,2,2,2,2,2,1124,0.0111,0.026,0.0606,0.1145,0.5309,0.9239,0.9653,0.9821,0.993,1124,0.014,0.036,0.07,0.157,1.266,4.331,5.596,7.286,8.94,1124,7,7,7,7,7,7,7,7,7,1124,0.3518,0.597,0.7482,0.8764,0.9986,1,1,1,1,1124,0,0.002,0.009,0.033,0.664,3.091,4.258,5.518,7.709,1124,-1414.131,-1414.846,-1415.341,-1415.835,-1416.885,-1416.935,-1416.935,-1416.935,-1416.935,1124,0,0,0,0,0,0,0,0,0,1124,0,0,0,0,0,0.039,0.055,0.067,0.082,1124,0,0,0,0,0,0,0,0,0.02,1124,0.71,0.868,0.932,0.973,1,1,1,1,1,1124,0,0.001,0.002,0.004,0.016,0.035,0.041,0.047,0.055,1124,0.965,1,1,1,1,3.164,5.903,10.332,25.876,1124,-1412.433,-1413.285,-1414.131,-1414.767,-1416.301,-1416.855,-1416.899,-1416.916,-1416.927,1124
"16","cor",22,0,1,1,250,2,2,0,6,4,"CE",2668.516,2677.368,2684.589,2692.7,2719.252,2743.998,2750.547,2755.474,2760.694,0,2665.394,2674.247,2681.468,2689.578,2716.131,2740.876,2747.426,2752.352,2757.572,0,2678.038,2686.891,2694.111,2702.222,2728.775,2753.52,2760.069,2764.996,2770.216,0,0.752,0.779,0.801,0.826,0.907,0.975,0.993,1,1,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,95.868,104.063,109.716,117.49,145.053,174.244,182.94,191.297,198.395,0,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0.005,0.1723,0.3408,0.5108,0.6868,0,4.739,6.242,7.903,10.281,20.259,33.321,37.778,41.868,46.812,0,-1329.697,-1334.123,-1337.734,-1341.789,-1355.065,-1367.438,-1370.713,-1373.176,-1375.786,0,0,0,0,0,0.044,0.083,0.093,0.102,0.112,0,0.06,0.073,0.083,0.096,0.132,0.166,0.176,0.184,0.193,0,0,0,0.023,0.043,0.087,0.123,0.133,0.141,0.151,0,0,0,0.001,0.002,0.073,0.516,0.7,0.821,0.908,0,0.037,0.043,0.048,0.054,0.074,0.093,0.099,0.103,0.108,0,0.929,0.937,0.943,0.95,0.973,0.993,0.998,1.002,1.005,0,-1317.623,-1321.272,-1325.461,-1329.807,-1344.404,-1358.143,-1362.074,-1364.808,-1368.969,0
